sample	strandseq_dir	gfa	coverage	hpc	assembler	expect_XY_separate
NA24385-both-frac75-rep2	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_both_frac-75_rep-2/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-both-frac75-rep3	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_both_frac-75_rep-3/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-both-frac75-rep4	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_both_frac-75_rep-4/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac100-rep0	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-100_rep-0/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac25-rep1	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-25_rep-1/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac25-rep2	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-25_rep-2/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac25-rep3	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-25_rep-3/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac25-rep4	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-25_rep-4/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac50-rep1	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-50_rep-1/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac50-rep2	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-50_rep-2/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac50-rep3	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-50_rep-3/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac50-rep4	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-50_rep-4/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac75-rep1	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-75_rep-1/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac75-rep2	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-75_rep-2/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac75-rep3	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-75_rep-3/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
NA24385-good-frac75-rep4	/gpfs/project/projects/medbioinf/projects/mihen108/input/NA24385_titration_strandseq/NA24385_good_frac-75_rep-4/	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.homopolymer-compressed.gfa	/gpfs/project/projects/medbioinf/projects/mihen108/input/HGSVC_verkko14/NA24385.ps-none.wd/assembly.hifi-coverage.csv	TRUE	verkko	TRUE
